Kabupaten/Kota;Timbulan Sampah Tahunan(ton)
Kab. Melawi;30.524,07
Kab. Mempawah;30.015,96
Kab. Manggarai Barat;29.995,84
Kab. Lanny Jaya;29.483,24
Kota Magelang;29.447,93
Kab. Bantaeng;29.446,45
Kab. Tapin;29.379,14
Kab. Bangka Selatan;29.247,45
Kab. Lombok Utara;29.107,83
Kota Pare Pare;27.832,35
Kab. Barru;27.722,04
Kota Blitar;27.442,53
Kab. Solok Selatan;26.988,10
Kab. Belitung;26.533,31
Kota Tomohon;26.136,88
Kab. Majene;25.463,42
Kab. Nabire;24.693,86
Kota Mojokerto;24.168,48
Kab. Barito Utara;23.129,61
Kab. Mamuju Tengah;22.864,48
Kab. Pohuwato;21.379,07
Kab. Biak Numfor;21.323,59
Kab. Kepahiang;21.318,92
Kab. Kepulauan Selayar;20.488,47
Kab. Balangan;20.440,98
Kab. Kolaka Utara;20.340,57
Kab. Murung Raya;20.125,19
Kota Solok;19.663,02
Kota Tual;19.611,92
Kab. Belitung Timur;18.532,95
Kota Padang Panjang;17.519,42
Kab. Aceh Jaya;17.001,52
Kab. Barito Timur;16.977,76
Kota Tidore Kepulauan;16.834,53
Kab. Minahasa Tenggara;16.559,47
Kota Subulussalam;16.529,21
Kab. Asmat;16.298,27
Kab. Nunukan;15.260,25
Kab. Bolaang Mongondow Utara;15.167,94
Kab. Gayo Lues;14.757,24
Kab. Kep. Siau Tagulandang Biaro;13.429,08
Kab. Banggai Laut;12.933,78
Kab. Bolaang Mongondow Selatan;12.736,86
Kab. Sumba Tengah;9.490,37
Kab. Keerom;8.996,96
Kab. Sorong Selatan;8.167,39
Kota Sawahlunto;6.843,52
Kab. Adm. Kep. Seribu;6.429,48
